Benchmark,#TotalOC,,Uniform Sampling (k=100),,,Uniform Sampling (k=1000),,,Baital (k=100),,,Baital (k=1000),,,LS-Sampling (k=100),,,LS-Sampling (k=1000),
,,,#OC,COV (%),,#OC,COV (%),,#OC,COV (%),,#OC,COV (%),,#OC,COV (%),,#OC,COV (%)
aaed2000,"3,077,396",,"2,222,462.45",72.22,,"2,371,866.50",77.07,,"2,869,058.20",93.23,,"3,002,072.15",97.55,,"3,069,780.00",99.75,,"3,077,183.85",99.99
adder,"3,040,048",,"2,246,664.95",73.9,,"2,409,142.00",79.25,,"2,812,911.65",92.53,,"2,959,650.70",97.36,,"3,034,757.50",99.83,,"3,039,832.40",99.99
adderII,"3,059,606",,"2,263,560.80",73.98,,"2,427,099.35",79.33,,"2,832,547.90",92.58,,"2,977,248.30",97.31,,"3,054,229.15",99.82,,"3,059,397.95",99.99
aeb,"2,722,566",,"1,995,766.90",73.3,,"2,136,374.15",78.47,,"2,512,456.05",92.28,,"2,658,669.75",97.65,,"2,718,144.70",99.84,,"2,722,420.00",99.99
aim711,"2,987,322",,"2,155,138.55",72.14,,"2,319,168.40",77.63,,"2,764,386.30",92.54,,"2,925,639.40",97.94,,"2,982,115.85",99.83,,"2,987,122.05",99.99
aki3068net,"2,725,375",,"1,985,288.05",72.84,,"2,147,900.50",78.81,,"2,515,237.85",92.29,,"2,654,611.60",97.4,,"2,721,047.75",99.84,,"2,725,226.45",99.99
am31_sim,"2,518,806",,"1,848,450.65",73.39,,"1,984,878.10",78.8,,"2,335,852.80",92.74,,"2,465,799.40",97.9,,"2,515,198.05",99.86,,"2,518,676.85",99.99
asb,"2,812,382",,"2,022,033.20",71.9,,"2,157,947.50",76.73,,"2,616,531.05",93.04,,"2,758,449.20",98.08,,"2,807,979.90",99.84,,"2,812,192.05",99.99
asb2305,"2,843,643",,"2,048,639.95",72.04,,"2,187,677.05",76.93,,"2,648,947.60",93.15,,"2,788,873.45",98.07,,"2,839,292.35",99.85,,"2,843,460.75",99.99
assabet,"2,939,079",,"2,148,648.10",73.11,,"2,309,952.40",78.59,,"2,724,179.80",92.69,,"2,866,761.00",97.54,,"2,934,436.10",99.84,,"2,938,883.80",99.99
at91sam7sek,"3,071,870",,"2,238,272.30",72.86,,"2,404,115.75",78.26,,"2,853,467.55",92.89,,"3,007,253.10",97.9,,"3,067,077.00",99.84,,"3,071,700.40",99.99
at91sam7xek,"3,217,676",,"2,338,729.20",72.68,,"2,532,696.30",78.71,,"2,986,676.40",92.82,,"3,153,289.20",98,,"3,212,034.70",99.82,,"3,217,466.95",99.99
atlas_mips32_4kc,"2,764,804",,"2,014,031.35",72.85,,"2,167,890.75",78.41,,"2,554,794.75",92.4,,"2,694,326.75",97.45,,"2,759,944.80",99.82,,"2,764,598.45",99.99
atlas_mips64_5kc,"2,732,018",,"1,976,386.00",72.34,,"2,132,953.90",78.07,,"2,522,972.25",92.35,,"2,663,789.95",97.5,,"2,727,163.05",99.82,,"2,731,837.70",99.99
axtls,"16,212",,"13,441.95",82.91,,"15,235.35",93.98,,"15,912.00",98.15,,"16,191.40",99.87,,"16,210.90",99.99,,"16,212.00",100
brutus,"2,753,311",,"2,017,308.60",73.27,,"2,162,379.40",78.54,,"2,550,024.05",92.62,,"2,689,506.35",97.68,,"2,749,138.85",99.85,,"2,753,166.80",99.99
buildroot,"621,270",,"613,804.00",98.8,,"613,804.00",98.8,,"613,804.00",98.8,,"613,804.00",98.8,,"621,058.00",99.97,,"621,058.00",99.97
busybox_1_28_0,"1,965,023",,"1,903,285.00",96.86,,"1,939,312.70",98.69,,"1,949,742.00",99.22,,"1,954,917.15",99.49,,"1,962,484.05",99.87,,"1,963,429.05",99.92
calm16_ceb,"2,552,819",,"1,872,102.25",73.33,,"2,008,236.25",78.67,,"2,367,096.85",92.72,,"2,495,675.75",97.76,,"2,549,009.35",99.85,,"2,552,678.45",99.99
calm32_ceb,"2,552,819",,"1,879,159.35",73.61,,"2,010,211.10",78.74,,"2,365,405.10",92.66,,"2,498,491.85",97.87,,"2,548,863.15",99.85,,"2,552,680.55",99.99
ceb_v850,"2,632,319",,"1,913,569.95",72.7,,"2,065,002.35",78.45,,"2,430,693.45",92.34,,"2,569,860.15",97.63,,"2,628,285.40",99.85,,"2,632,182.30",99.99
cerf,"3,023,738",,"2,187,292.95",72.34,,"2,363,459.75",78.16,,"2,785,217.05",92.11,,"2,940,485.65",97.25,,"3,018,489.50",99.83,,"3,023,516.75",99.99
cerfpda,"3,096,965",,"2,256,262.05",72.85,,"2,421,646.30",78.19,,"2,856,080.00",92.22,,"3,010,241.65",97.2,,"3,091,528.40",99.82,,"3,096,724.10",99.99
cma230,"2,718,034",,"1,982,949.20",72.96,,"2,134,576.35",78.53,,"2,516,709.50",92.59,,"2,659,242.50",97.84,,"2,714,086.20",99.85,,"2,717,878.90",99.99
cma28x,"2,694,432",,"1,955,050.75",72.56,,"2,099,160.80",77.91,,"2,490,699.85",92.44,,"2,633,560.55",97.74,,"2,690,278.25",99.85,,"2,694,275.80",99.99
cme555,"2,987,068",,"2,146,831.60",71.87,,"2,287,718.85",76.59,,"2,788,422.10",93.35,,"2,903,340.40",97.2,,"2,982,450.80",99.85,,"2,986,853.55",99.99
cq7708,"2,833,809",,"2,079,260.10",73.37,,"2,227,456.50",78.6,,"2,620,179.60",92.46,,"2,764,363.85",97.55,,"2,828,752.00",99.82,,"2,833,677.15",100
cq7750,"2,945,323",,"2,133,602.35",72.44,,"2,275,737.65",77.27,,"2,745,763.50",93.22,,"2,887,599.70",98.04,,"2,940,538.95",99.84,,"2,945,141.15",99.99
csb281,"2,873,486",,"2,093,606.95",72.86,,"2,234,754.60",77.77,,"2,651,087.05",92.26,,"2,790,106.35",97.1,,"2,868,096.70",99.81,,"2,873,256.85",99.99
