Benchmark,#TotalOC,,"LS-Sampling (k=100, lambda=10)",,,,"LS-Sampling (k=1000, lambda=10)",,,,"LS-Sampling (k=100, lambda=50)",,,,"LS-Sampling (k=1000, lambda=50)",,,,"LS-Sampling (k=100, lambda=100)",,,,"LS-Sampling (k=1000, lambda=100)",,,,"LS-Sampling (k=100, lambda=500)",,,,"LS-Sampling (k=1000, lambda=500)",,,,"LS-Sampling (k=100, lambda=1000)",,,,"LS-Sampling (k=1000, lambda=1000)",
,,,#OC,COV (%),,,#OC,COV (%),,,#OC,COV (%),,,#OC,COV (%),,,#OC,COV (%),,,#OC,COV (%),,,#OC,COV (%),,,#OC,COV (%),,,#OC,COV (%),,,#OC,COV (%)
aaed2000,"3,077,396",,"3,061,634.15",99.49,,,"3,076,076.10",99.96,,,"3,068,040.35",99.7,,,"3,077,018.10",99.99,,,"3,069,780.00",99.75,,,"3,077,183.85",99.99,,,"3,072,583.40",99.84,,,"3,077,333.25",100,,,"3,073,392.45",99.87,,,"3,077,360.95",100
adder,"3,040,048",,"3,028,377.35",99.62,,,"3,038,757.45",99.96,,,"3,033,132.45",99.77,,,"3,039,638.50",99.99,,,"3,034,757.50",99.83,,,"3,039,832.40",99.99,,,"3,036,834.65",99.89,,,"3,039,995.80",100,,,"3,037,451.40",99.91,,,"3,040,013.15",100
adderII,"3,059,606",,"3,048,012.85",99.62,,,"3,058,477.20",99.96,,,"3,052,701.30",99.77,,,"3,059,198.80",99.99,,,"3,054,229.15",99.82,,,"3,059,397.95",99.99,,,"3,056,396.05",99.9,,,"3,059,551.60",100,,,"3,057,010.85",99.92,,,"3,059,569.75",100
aeb,"2,722,566",,"2,712,838.35",99.64,,,"2,721,639.20",99.97,,,"2,717,026.95",99.8,,,"2,722,287.75",99.99,,,"2,718,144.70",99.84,,,"2,722,420.00",99.99,,,"2,720,042.50",99.91,,,"2,722,521.20",100,,,"2,720,549.15",99.93,,,"2,722,541.65",100
aim711,"2,987,322",,"2,975,680.05",99.61,,,"2,986,189.35",99.96,,,"2,980,527.05",99.77,,,"2,986,963.25",99.99,,,"2,982,115.85",99.83,,,"2,987,122.05",99.99,,,"2,984,232.15",99.9,,,"2,987,265.15",100,,,"2,984,752.50",99.91,,,"2,987,285.15",100
aki3068net,"2,725,375",,"2,715,604.15",99.64,,,"2,724,306.40",99.96,,,"2,719,777.25",99.79,,,"2,725,100.40",99.99,,,"2,721,047.75",99.84,,,"2,725,226.45",99.99,,,"2,722,739.35",99.9,,,"2,725,334.35",100,,,"2,723,246.85",99.92,,,"2,725,350.85",100
am31_sim,"2,518,806",,"2,510,612.95",99.67,,,"2,517,884.25",99.96,,,"2,514,338.60",99.82,,,"2,518,533.45",99.99,,,"2,515,198.05",99.86,,,"2,518,676.85",99.99,,,"2,516,841.50",99.92,,,"2,518,769.65",100,,,"2,517,176.75",99.94,,,"2,518,782.55",100
asb,"2,812,382",,"2,802,280.45",99.64,,,"2,811,410.15",99.97,,,"2,807,017.65",99.81,,,"2,812,084.25",99.99,,,"2,807,979.90",99.84,,,"2,812,192.05",99.99,,,"2,809,731.55",99.91,,,"2,812,336.00",100,,,"2,810,315.90",99.93,,,"2,812,357.60",100
asb2305,"2,843,643",,"2,833,851.55",99.66,,,"2,842,547.35",99.96,,,"2,838,226.65",99.81,,,"2,843,302.85",99.99,,,"2,839,292.35",99.85,,,"2,843,460.75",99.99,,,"2,841,110.25",99.91,,,"2,843,595.80",100,,,"2,841,619.65",99.93,,,"2,843,620.25",100
