Benchmark,#TotalOC,,LS-Sampling-alt1 (k=100),,,LS-Sampling-alt1 (k=1000),,,LS-Sampling-alt2 (k=100),,,LS-Sampling-alt2 (k=1000),,,LS-Sampling-alt3 (k=100),,,LS-Sampling-alt3 (k=1000),,,LS-Sampling (k=100),,,LS-Sampling (k=1000),
,,,#OC,COV (%),,#OC,COV (%),,#OC,COV (%),,#OC,COV (%),,#OC,COV (%),,#OC,COV (%),,#OC,COV (%),,#OC,COV (%)
aaed2000,"2,444,568,255",,"2,345,062,287.15",95.93,,"2,406,875,250.60",98.46,,"2,287,026,035.80",93.56,,"2,378,407,595.50",97.29,,"2,344,534,945.90",95.91,,"2,405,376,679.30",98.4,,"2,386,577,247.40",97.63,,"2,440,863,502.50",99.85
adder,"2,402,432,536",,"2,330,750,851.40",97.02,,"2,390,154,850.90",99.49,,"2,253,599,526.90",93.8,,"2,339,035,886.30",97.36,,"2,327,756,540.40",96.89,,"2,390,608,894.30",99.51,,"2,354,954,074.00",98.02,,"2,399,347,190.50",99.87
adderII,"2,425,797,217",,"2,353,470,267.80",97.02,,"2,414,013,340.80",99.51,,"2,279,087,022.20",93.95,,"2,363,207,423.90",97.42,,"2,353,011,013.95",97,,"2,413,816,050.50",99.51,,"2,377,725,239.55",98.02,,"2,422,676,129.40",99.87
aeb,"2,034,914,860",,"1,970,678,372.30",96.84,,"2,023,826,097.60",99.46,,"1,907,350,157.85",93.73,,"1,977,113,597.30",97.16,,"1,974,665,009.20",97.04,,"2,025,315,990.95",99.53,,"1,995,983,804.00",98.09,,"2,032,449,604.40",99.88
aim711,"2,340,712,354",,"2,270,670,917.25",97.01,,"2,328,657,529.30",99.48,,"2,191,813,780.05",93.64,,"2,278,081,657.90",97.32,,"2,271,158,788.30",97.03,,"2,328,991,180.90",99.5,,"2,294,262,967.80",98.02,,"2,337,627,828.85",99.87
aki3068net,"2,036,614,115",,"1,972,645,753.30",96.86,,"2,026,613,171.10",99.51,,"1,909,718,152.25",93.77,,"1,980,977,264.55",97.27,,"1,977,013,314.15",97.07,,"2,027,301,001.90",99.54,,"1,997,394,287.25",98.07,,"2,034,212,816.80",99.88
am31_sim,"1,808,691,009",,"1,751,919,442.80",96.86,,"1,799,251,245.45",99.48,,"1,698,432,468.70",93.9,,"1,757,335,273.35",97.16,,"1,757,978,069.60",97.2,,"1,801,360,367.05",99.59,,"1,776,759,073.20",98.23,,"1,806,774,638.10",99.89
asb,"2,136,106,174",,"2,058,931,584.75",96.39,,"2,117,251,382.05",99.12,,"2,002,472,695.80",93.74,,"2,077,852,610.95",97.27,,"2,061,072,517.45",96.49,,"2,114,567,756.50",98.99,,"2,096,430,327.15",98.14,,"2,133,604,315.25",99.88
asb2305,"2,172,462,086",,"2,091,004,586.80",96.25,,"2,150,616,881.80",98.99,,"2,040,332,881.55",93.92,,"2,113,640,781.10",97.29,,"2,096,051,947.80",96.48,,"2,151,759,743.00",99.05,,"2,133,028,460.05",98.18,,"2,169,960,601.15",99.88
assabet,"2,285,520,619",,"2,212,266,734.70",96.79,,"2,264,377,494.45",99.07,,"2,148,522,999.75",94.01,,"2,223,169,777.20",97.27,,"2,219,089,364.00",97.09,,"2,273,897,189.60",99.49,,"2,243,282,142.75",98.15,,"2,282,847,603.70",99.88
at91sam7sek,"2,443,618,092",,"2,362,459,387.05",96.68,,"2,424,565,941.80",99.22,,"2,290,350,219.05",93.73,,"2,374,593,957.10",97.18,,"2,371,696,981.75",97.06,,"2,430,989,288.85",99.48,,"2,398,722,497.85",98.16,,"2,440,798,117.35",99.88
at91sam7xek,"2,620,295,826",,"2,529,913,071.55",96.55,,"2,599,731,216.45",99.22,,"2,448,892,694.05",93.46,,"2,548,079,792.60",97.24,,"2,538,256,930.55",96.87,,"2,605,154,071.65",99.42,,"2,568,076,810.95",98.01,,"2,616,896,180.50",99.87
atlas_mips32_4kc,"2,081,563,953",,"2,016,441,485.00",96.87,,"2,070,644,922.45",99.48,,"1,952,714,935.55",93.81,,"2,024,080,500.60",97.24,,"2,020,467,703.85",97.06,,"2,071,260,889.35",99.51,,"2,040,258,657.50",98.02,,"2,078,916,116.50",99.87
atlas_mips64_5kc,"2,044,116,455",,"1,978,481,165.30",96.79,,"2,033,089,846.60",99.46,,"1,916,972,454.30",93.78,,"1,987,454,070.70",97.23,,"1,982,976,964.75",97.01,,"2,034,118,915.45",99.51,,"2,002,570,772.70",97.97,,"2,041,499,539.60",99.87
axtls,"916,254",,"903,898.45",98.65,,"914,562.05",99.82,,"901,692.30",98.41,,"914,064.75",99.76,,"900,335.90",98.26,,"914,298.15",99.79,,"907,956.35",99.09,,"915,559.65",99.92
brutus,"2,070,055,492",,"2,007,661,574.95",96.99,,"2,059,705,587.10",99.5,,"1,942,520,080.85",93.84,,"2,012,087,681.15",97.2,,"2,010,520,346.70",97.12,,"2,061,047,525.25",99.56,,"2,033,249,539.35",98.22,,"2,067,742,007.35",99.89
buildroot,"228,204,016",,"228,084,518.00",99.95,,"228,084,566.00",99.95,,"228,083,782.15",99.95,,"228,084,566.00",99.95,,"228,084,381.55",99.95,,"228,084,566.00",99.95,,"228,084,527.60",99.95,,"228,084,566.00",99.95
busybox_1_28_0,"1,295,475,693",,"1,286,297,413.30",99.29,,"1,293,645,953.70",99.86,,"1,283,446,871.35",99.07,,"1,291,786,237.20",99.72,,"1,285,114,432.45",99.2,,"1,290,146,709.25",99.59,,"1,290,162,984.20",99.59,,"1,293,707,897.90",99.86
calm16_ceb,"1,845,931,912",,"1,788,339,546.45",96.88,,"1,836,352,140.05",99.48,,"1,734,864,457.10",93.98,,"1,793,272,990.45",97.15,,"1,794,144,838.45",97.19,,"1,837,780,912.00",99.56,,"1,812,336,777.65",98.18,,"1,843,883,357.65",99.89
calm32_ceb,"1,845,931,912",,"1,788,231,640.65",96.87,,"1,836,698,608.60",99.5,,"1,734,539,789.90",93.97,,"1,794,583,029.80",97.22,,"1,794,121,263.05",97.19,,"1,837,917,753.60",99.57,,"1,811,976,052.10",98.16,,"1,843,861,303.50",99.89
ceb_v850,"1,933,546,623",,"1,873,712,902.60",96.91,,"1,923,676,865.55",99.49,,"1,819,533,457.05",94.1,,"1,880,173,580.15",97.24,,"1,878,298,814.50",97.14,,"1,925,486,156.50",99.58,,"1,898,060,073.30",98.16,,"1,931,386,510.45",99.89
cerf,"2,383,438,036",,"2,307,978,174.65",96.83,,"2,370,260,244.00",99.45,,"2,232,477,563.10",93.67,,"2,318,971,584.70",97.3,,"2,309,683,310.55",96.91,,"2,371,000,444.45",99.48,,"2,335,615,568.85",97.99,,"2,380,325,355.45",99.87
cerfpda,"2,470,824,874",,"2,388,790,761.25",96.68,,"2,457,321,642.85",99.45,,"2,314,474,466.35",93.67,,"2,405,836,689.20",97.37,,"2,393,839,175.05",96.88,,"2,457,619,864.90",99.47,,"2,420,465,444.25",97.96,,"2,467,447,298.00",99.86
cma230,"2,029,926,181",,"1,968,018,626.65",96.95,,"2,019,418,356.90",99.48,,"1,902,011,300.70",93.7,,"1,972,531,580.00",97.17,,"1,973,964,225.10",97.24,,"2,020,874,465.55",99.55,,"1,993,578,594.30",98.21,,"2,027,620,595.75",99.89
cma28x,"2,002,993,138",,"1,942,632,349.60",96.99,,"1,992,775,727.10",99.49,,"1,880,361,745.90",93.88,,"1,946,295,036.15",97.17,,"1,945,615,513.65",97.14,,"1,994,184,728.15",99.56,,"1,966,615,135.25",98.18,,"2,000,685,284.90",99.88
cme555,"2,339,087,503",,"2,252,783,716.25",96.31,,"2,313,918,324.85",98.92,,"2,195,676,988.60",93.87,,"2,275,451,144.25",97.28,,"2,254,621,277.40",96.39,,"2,313,795,773.00",98.92,,"2,294,715,542.55",98.1,,"2,336,266,399.20",99.88
cq7708,"2,162,133,499",,"2,080,297,969.60",96.22,,"2,143,690,028.85",99.15,,"2,027,542,964.15",93.78,,"2,101,568,947.40",97.2,,"2,098,050,085.50",97.04,,"2,152,347,279.00",99.55,,"2,118,664,075.40",97.99,,"2,159,454,743.85",99.88
cq7750,"2,291,557,328",,"2,211,042,580.95",96.49,,"2,267,268,547.05",98.94,,"2,149,481,216.10",93.8,,"2,229,676,917.95",97.3,,"2,208,802,084.60",96.39,,"2,266,590,182.30",98.91,,"2,248,808,406.05",98.13,,"2,288,859,756.40",99.88
csb281,"2,204,475,868",,"2,142,717,403.80",97.2,,"2,194,753,797.50",99.56,,"2,066,450,826.50",93.74,,"2,145,967,122.05",97.35,,"2,136,887,057.95",96.93,,"2,192,706,723.10",99.47,,"2,158,355,263.30",97.91,,"2,201,507,923.75",99.87
dreamcast,"2,246,891,653",,"2,174,281,421.35",96.77,,"2,234,254,653.45",99.44,,"2,106,626,996.70",93.76,,"2,185,918,399.55",97.29,,"2,180,105,473.45",97.03,,"2,235,091,644.05",99.47,,"2,201,328,111.70",97.97,,"2,244,069,470.90",99.87
e7t,"2,353,621,879",,"2,266,299,289.35",96.29,,"2,332,437,181.30",99.1,,"2,202,920,251.90",93.6,,"2,290,730,864.05",97.33,,"2,259,129,533.55",95.99,,"2,321,901,087.55",98.65,,"2,306,615,567.80",98,,"2,350,458,210.25",99.87
ea2468,"2,906,114,198",,"2,815,629,889.20",96.89,,"2,888,103,355.35",99.38,,"2,736,455,246.00",94.16,,"2,833,465,225.55",97.5,,"2,820,278,085.15",97.05,,"2,891,284,932.95",99.49,,"2,853,363,562.80",98.18,,"2,902,590,689.70",99.88
eb40,"2,175,583,569",,"2,106,329,146.80",96.82,,"2,163,994,787.00",99.47,,"2,039,688,008.90",93.75,,"2,113,440,092.50",97.14,,"2,111,563,817.65",97.06,,"2,164,305,547.55",99.48,,"2,135,474,093.30",98.16,,"2,173,003,579.55",99.88
eb40a,"2,181,032,942",,"2,113,202,863.75",96.89,,"2,169,859,972.50",99.49,,"2,046,797,258.75",93.85,,"2,119,480,313.55",97.18,,"2,113,303,285.10",96.89,,"2,169,918,796.50",99.49,,"2,140,345,731.00",98.13,,"2,178,407,860.10",99.88
eb42,"2,142,544,959",,"2,077,528,114.10",96.97,,"2,131,693,695.35",99.49,,"2,010,229,937.80",93.82,,"2,082,439,266.50",97.19,,"2,084,059,442.75",97.27,,"2,132,792,998.95",99.54,,"2,103,899,073.75",98.2,,"2,140,034,801.15",99.88
eb55,"2,324,801,123",,"2,251,319,787.95",96.84,,"2,312,296,634.60",99.46,,"2,184,466,667.85",93.96,,"2,261,661,090.80",97.28,,"2,253,770,124.50",96.94,,"2,313,012,641.75",99.49,,"2,282,033,456.15",98.16,,"2,321,948,495.25",99.88
